ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Attachment URL,製品紹介カテゴリー,vkexunit_cta_each_option,_veu_custom_css,_locale,_original_post,_dp_original,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date
13,原子力用グローブボックス②,"グローブボックス(Glove Box)とは：
放射性物質を始めとした、隔離対象物をステンレス製のボックスに負圧管理して閉じ込め、作業者が容器の外からグローブを介し安全に取り扱える装置です。
精製装置と組み合わせることで、ドライ環境やアルゴン雰囲気へも対応可能となっています。
<div class=""org-img-block""><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb1.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb2.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb3.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb6.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb8.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb9.jpg"" alt="""" width=""300"" height=""225"" /></div>",,2018/11/5,product,https://ysd-k.co.jp/product/13/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/6fb862c530d943c1fce7733c8e172998-e1548416992274.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/item2.png|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/item3.png|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/item4.png|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/aboutus_icon3.png|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/aboutus_icon1.png|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/aboutus_icon2.png|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/9b714b6b6a494687448ace8c3558fa18.png|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/fcc8ef14411cb6d10eea41e01c43bd00.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/275c500b3f721011e593fba79e279c55.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/4370c491688bed7c59d0a6e1e0215ad1.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/5cbb5f99c8253557d92ae9c48ded5936.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb1.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb2.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb3.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb4.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb5.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb6.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb7.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb8.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/gb9.jpg,4-5商品イメージ2|item2|item3|item4|aboutus_icon3|aboutus_icon1|aboutus_icon2|ヨシダロゴ|グローブボックス|グローブボックス1|グローブボックス2|グローブボックス3|gb1|gb2|gb3|gb4|gb5|gb6|gb7|gb8|gb9,||||||||||||||||||||,||||||||||||||||||||,||||||||||||||||||||,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/6fb862c530d943c1fce7733c8e172998-e1548416992274.jpg,,グローブボックス|原子力製品|機械加工|製缶・溶接|設計,0,,ja,14,,publish,2,yoshida,soumu@ysd-k.co.jp,,,%e8%a3%bd%e5%93%81a-1,,,0,0,0,closed,closed,2020/8/5
96,水銀ターゲット容器保管容器,"<div>J-PARCにある、水銀ターゲットは、加速された陽子を、先端のビーム窓部から入射し、容器内を流動する水銀の原子核を破砕して、中性子ビームを発生させる装置です。弊社では、放射化した水銀ターゲットを保管する容器を製作しています。気密性が求められることから、ヘリウムリークテストを経て出荷されます。</div>
<div class=""org-img-block""><img class=""alignnone size-medium wp-image-327"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury2-225x300.jpg"" alt="""" width=""225"" height=""300"" />   <img class=""alignnone size-medium wp-image-330"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury5-225x300.jpg"" alt="""" width=""225"" height=""300"" /></div>
<div class=""org-img-block""><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury3.jpg"" alt=""水銀ターゲット容器保管容器3"" width=""225"" height=""300"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury4.jpg"" alt=""水銀ターゲット容器保管容器4"" width=""225"" height=""300"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury1.jpg"" alt=""水銀ターゲット容器保管容器1"" width=""225"" height=""300"" /></div>
&nbsp;
<p style=""text-align: center"">J-PARC様 HPより引用
<a href=""http://j-parc.jp/researcher/MatLife/ja/files/nss.pdf"">http://j-parc.jp/researcher/MatLife/ja/files/nss.pdf</a></p>

<div></div>
<div><img class=""alignnone size-large wp-image-538 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/9a35282d15308f41113e22a8f8a0a4c4-e1548760387672-1024x621.jpg"" alt="""" width=""750"" height=""455"" /></div>",,2018/11/4,product,https://ysd-k.co.jp/product/96/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/9e6c44106c874415729e4efc8e628bfb-e1548417062195.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/06/e334abbc8896cff733e862368d8d6edd.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/f63da6f43abb1ba53e64c80655541f9f.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/a7179bc16161aa952c4070edae4bbf8f.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/9a7fb5796ccd3499141023f6ed056e7c.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/be451f433118c7002da8c355ae70d4f3.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/9a7fb5796ccd3499141023f6ed056e7c-1.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury1.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury2.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury3.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury4.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury5.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/mercury0.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/9a35282d15308f41113e22a8f8a0a4c4-e1548760387672.jpg,4-5商品イメージ|水銀ターゲット容器保管容器|水銀ターゲット容器1|水銀ターゲット容器2|水銀ターゲット容器3|脱硝システムユニットサムネ用|水銀ターゲット容器3|mercury1|mercury2|mercury3|mercury4|mercury5|mercury0|水銀ターゲット,|||||||||||||,|||||||||||||,|||||||||||||,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/9e6c44106c874415729e4efc8e628bfb-e1548417062195.jpg,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/4b21143f62d91fa1d92e5fc4d9a0d319.mp4,原子力製品|機械加工|製缶・溶接|設計,0,,ja,97,,publish,2,yoshida,soumu@ysd-k.co.jp,,,%e8%a3%bd%e5%93%81a-11,,,0,0,0,closed,closed,2020/3/30
209,フレコンバッグ線量測定器(Siki),"<div class=""org-img-block""><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/e5e67ad7b5552b9d1684cb1def2b2fe6-300x225.jpg"" alt=""フレコンバッグ線量直接測定治具1"" width=""300"" height=""225"" />  <img class=""alignnone size-medium wp-image-534"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_0029-e1548758050918-300x225.jpg"" alt="""" width=""300"" height=""225"" />   <img class=""alignnone size-medium wp-image-210"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/d486bc13e7a807ce499e4b7b1c3f2bca-300x225.jpg"" alt="""" width=""300"" height=""225"" /></div>
&nbsp;
<p class=""org-img-block"" style=""text-align: left;"">Sikiについて詳しくは、
<a href=""https://japan.hitachi-kenki.co.jp/products/new1/siki/"">https://japan.hitachi-kenki.co.jp/products/new1/siki/</a></p>",,2018/11/1,product,https://ysd-k.co.jp/product/209/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/d486bc13e7a807ce499e4b7b1c3f2bca.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/9083960deb8eed8abd0f96092efca770.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/e5e67ad7b5552b9d1684cb1def2b2fe6.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_0029-e1548758050918.jpg,フレコンバッグ線量直接測定治具|フレコンバッグ線量直接測定治具2|フレコンバッグ線量直接測定治具3|IMG_0029,|||,|||,|||,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/d486bc13e7a807ce499e4b7b1c3f2bca.jpg,,原子力製品|機械加工|製缶・溶接|設計,0,,ja,209,,private,2,yoshida,soumu@ysd-k.co.jp,,,%e3%83%95%e3%83%ac%e3%82%b3%e3%83%b3%e3%83%90%e3%83%83%e3%82%b0%e7%b7%9a%e9%87%8f%e7%9b%b4%e6%8e%a5%e6%b8%ac%e5%ae%9a%e6%b2%bb%e5%85%b7,,,0,0,0,closed,closed,2022/6/23
313,10t容量攪拌槽,"<p style=""text-align: left;"">プラント向け10t容量攪拌槽の製造風景です。装置全体では重量30t、高さ9m近くなりました。
弊社の新規に導入した30tクレーンと揚程12ｍの高さが大活躍しました。</p>

<div class=""org-img-block""><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/12/48b2d287f794c8e17b9a1a248c6dc061-300x225.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/12/10t1-300x225.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/12/10t2-300x225.jpg"" alt="""" width=""300"" height=""225"" /></div>
&nbsp;
<h4 style=""text-align: center;"">攪拌器取り付け光景</h4>
<div class=""org-video-block"">
[video width=""720"" height=""576"" mp4=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/1.mp4""][/video]
</div>",,2018/11/2,product,https://ysd-k.co.jp/product/313/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/ae46b1f460ee46f789c27b264a6cb421-1-e1589361611693.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/12/10t1.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/12/10t2.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/DSC_0289-1.jpg,名称未設定 1|10t1|10t2|DSC_0289,|||,|||,|||,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/ae46b1f460ee46f789c27b264a6cb421-1-e1589361611693.jpg,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/1.mp4,その他|機械加工|製缶・溶接,0,,ja,313,,publish,2,yoshida,soumu@ysd-k.co.jp,,,10t%e6%94%aa%e6%8b%8c%e6%a7%bd,,,0,0,0,closed,closed,2023/9/7
482,原子力用グローブボックス①,"グローブボックス(Glove Box)とは：
放射性物質を始めとした、隔離対象物をステンレス製のボックスに負圧管理して閉じ込め、作業者が容器の外からグローブを介し安全に取り扱える装置です。
精製装置と組み合わせることで、ドライ環境やアルゴン雰囲気へも対応可能となっています。
<div class=""org-img-block""><img class=""alignnone size-medium wp-image-524"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/DSC_0069-1-e1548417383880-208x300.jpg"" alt="""" width=""208"" height=""300"" />  <img class=""alignnone size-medium wp-image-484"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/DSC_0070-e1548331463475-208x300.jpg"" alt="""" width=""208"" height=""300"" />  <img class=""alignnone size-medium wp-image-485"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_2709-e1548331546609-211x300.jpg"" alt="""" width=""211"" height=""300"" />  <img class=""alignnone size-medium wp-image-486"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_2717-e1548331580528-199x300.jpg"" alt="""" width=""199"" height=""300"" /></div>",,2019/1/24,product,https://ysd-k.co.jp/product/482/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/7682be89f43b661ddb3cc01bfb46044a-e1589338908970.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/DSC_0069-e1548331397616.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/DSC_0070-e1548331463475.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_2709-e1548417499224.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_2717-e1548417471854.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/DSC_0069-1-e1548417383880.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/DSC_0222-e1551264490217.jpg,8㎥GB|DSC_0069|DSC_0070|IMG_2709|IMG_2717|DSC_0069|DSC_0222,||||||,||||||,||||||,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/7682be89f43b661ddb3cc01bfb46044a-e1589338908970.jpg,,グローブボックス|原子力製品|機械加工|製缶・溶接|設計,0,,ja,482,13,publish,2,yoshida,soumu@ysd-k.co.jp,,,%e3%82%b0%e3%83%ad%e3%83%bc%e3%83%96%e3%83%9c%e3%83%83%e3%82%af%e3%82%b92,,,0,0,0,closed,closed,2020/8/5
586,放射化試料用グローブボックス,"放射化試料用グローブボックスを設置させて頂きました。
新設の施設であるため、グローブボックスは鏡面仕上げを全面に施しました。

<img class=""size-large wp-image-587 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_135952-1024x768.jpg"" alt="""" width=""750"" height=""563"" />

<img class=""size-large wp-image-588 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_105217-1024x768.jpg"" alt="""" width=""750"" height=""563"" />

<img class=""size-large wp-image-589 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_105159-1024x768.jpg"" alt="""" width=""750"" height=""563"" />

<img class=""size-large wp-image-590 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_135824-1024x768.jpg"" alt="""" width=""750"" height=""563"" />",,2019/3/22,product,https://ysd-k.co.jp/product/586/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/94c61af2399a8df5b5ea9dc83f918bce-2-e1589338191161.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_135952.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_105217.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_105159.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_135824.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/94c61af2399a8df5b5ea9dc83f918bce-e1561372436376.jpg,2㎥GB|IMG_20190319_135952|IMG_20190319_105217|IMG_20190319_105159|IMG_20190319_135824|放射化試料用グローブボックス,|||||,|||||,|||||放射化試料用グローブボックス,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/94c61af2399a8df5b5ea9dc83f918bce-2-e1589338191161.jpg,,グローブボックス|原子力製品,,,ja,586,,publish,2,yoshida,soumu@ysd-k.co.jp,,,%e6%94%be%e5%b0%84%e5%8c%96%e8%a9%a6%e6%96%99%e7%94%a8%e3%82%b0%e3%83%ad%e3%83%bc%e3%83%96%e3%83%9c%e3%83%83%e3%82%af%e3%82%b9,,,0,0,0,closed,closed,2020/5/13
759,10-ton mixing vessel,"<p style=""text-align: left;"">The manufacturing site's photos and a video of 10-ton mixing tanks. The total weight of the machinery is 30-ton and height is nearly 9 meters.
Yoshida's newly acquired 30-ton crane and its lifting height of 12 meters performed well.</p>

<div class=""org-img-block""><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/12/48b2d287f794c8e17b9a1a248c6dc061-300x225.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/12/10t1-300x225.jpg"" alt="""" width=""300"" height=""225"" /><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/12/10t2-300x225.jpg"" alt="""" width=""300"" height=""225"" /></div>
&nbsp;
<h4 style=""text-align: center;"">Scene of the main stirring installation</h4>
<div class=""org-video-block"">
[video width=""720"" height=""576"" mp4=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/1.mp4""][/video]
</div>",,2018/11/2,product,https://ysd-k.co.jp/en/product/759/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/ae46b1f460ee46f789c27b264a6cb421-1-e1589361611693.jpg,名称未設定 1,,,,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/ae46b1f460ee46f789c27b264a6cb421-1-e1589361611693.jpg,,その他|機械加工|製缶・溶接,0,,en_US,313,,publish,2,yoshida,soumu@ysd-k.co.jp,,,10t%e6%94%aa%e6%8b%8c%e6%a7%bd,,,0,0,0,closed,closed,2023/9/7
760,Nuclear Glove Box1,"A glove box is a stainless steel container equipped with gloves. It can seal radioactive materials and other objects by controlling the negative pressure, and allow users to handle these materials from the outside in a safe environment via gloves.
By combining the glove box with a purification device, it can be adopted in a dry environment or argon atmosphere.
<div class=""org-img-block""><img class=""alignnone size-medium wp-image-524"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/DSC_0069-1-e1548417383880-208x300.jpg"" alt="""" width=""208"" height=""300"" />  <img class=""alignnone size-medium wp-image-484"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/DSC_0070-e1548331463475-208x300.jpg"" alt="""" width=""208"" height=""300"" />  <img class=""alignnone size-medium wp-image-485"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_2709-e1548331546609-211x300.jpg"" alt="""" width=""211"" height=""300"" />  <img class=""alignnone size-medium wp-image-486"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_2717-e1548331580528-199x300.jpg"" alt="""" width=""199"" height=""300"" /></div>",,2019/1/24,product,https://ysd-k.co.jp/en/product/760/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/7682be89f43b661ddb3cc01bfb46044a-e1589338908970.jpg,8㎥GB,,,,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/7682be89f43b661ddb3cc01bfb46044a-e1589338908970.jpg,,グローブボックス|原子力製品|機械加工|製缶・溶接|設計,0,,en_US,482,13,publish,2,yoshida,soumu@ysd-k.co.jp,,,%e3%82%b0%e3%83%ad%e3%83%bc%e3%83%96%e3%83%9c%e3%83%83%e3%82%af%e3%82%b92,,,0,0,0,closed,closed,2020/8/5
789,The dosimeter for flexible containers  (Siki),"<div class=""org-img-block""><img class=""org-img"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/e5e67ad7b5552b9d1684cb1def2b2fe6-300x225.jpg"" alt=""The dosimeter for flexible containers1"" width=""300"" height=""225"" />  <img class=""alignnone size-medium wp-image-534"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/01/IMG_0029-e1548758050918-300x225.jpg"" alt="""" width=""300"" height=""225"" />   <img class=""alignnone size-medium wp-image-210"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/d486bc13e7a807ce499e4b7b1c3f2bca-300x225.jpg"" alt="""" width=""300"" height=""225"" /></div>
&nbsp;
<p class=""org-img-block"" style=""text-align: left"">
More details on Siki
<a href=""https://japan.hitachi-kenki.co.jp/products/new1/siki/"">https://japan.hitachi-kenki.co.jp/products/new1/siki/</a></p>",,2018/11/1,product,https://ysd-k.co.jp/en/product/789/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/d486bc13e7a807ce499e4b7b1c3f2bca.jpg,フレコンバッグ線量直接測定治具,,,,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2018/11/d486bc13e7a807ce499e4b7b1c3f2bca.jpg,,原子力製品|機械加工|製缶・溶接|設計,0,,en_US,209,,publish,2,yoshida,soumu@ysd-k.co.jp,,,%e3%83%95%e3%83%ac%e3%82%b3%e3%83%b3%e3%83%90%e3%83%83%e3%82%b0%e7%b7%9a%e9%87%8f%e7%9b%b4%e6%8e%a5%e6%b8%ac%e5%ae%9a%e6%b2%bb%e5%85%b7,,,0,0,0,closed,closed,2020/3/31
792,Radioactive material Glove Box,"The glove box for radioactive samples was installed.
As it is a new facility, the glove box has a mirror finish on the entire surface.

<img class=""size-large wp-image-587 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_135952-1024x768.jpg"" alt="""" width=""750"" height=""563"" />

<img class=""size-large wp-image-588 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_105217-1024x768.jpg"" alt="""" width=""750"" height=""563"" />

<img class=""size-large wp-image-589 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_105159-1024x768.jpg"" alt="""" width=""750"" height=""563"" />

<img class=""size-large wp-image-590 aligncenter"" src=""https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/IMG_20190319_135824-1024x768.jpg"" alt="""" width=""750"" height=""563"" />",,2019/3/22,product,https://ysd-k.co.jp/en/product/792/,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/94c61af2399a8df5b5ea9dc83f918bce-2-e1589338191161.jpg|https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/94c61af2399a8df5b5ea9dc83f918bce-1-e1589337976926.jpg,2㎥GB|2㎥GB,|,|,|,https://ysd-k.co.jp/yoshida-cms/wp-content/uploads/2019/03/94c61af2399a8df5b5ea9dc83f918bce-2-e1589338191161.jpg,,グローブボックス|原子力製品,,,en_US,586,,publish,2,yoshida,soumu@ysd-k.co.jp,,,%e6%94%be%e5%b0%84%e5%8c%96%e8%a9%a6%e6%96%99%e7%94%a8%e3%82%b0%e3%83%ad%e3%83%bc%e3%83%96%e3%83%9c%e3%83%83%e3%82%af%e3%82%b9,,,0,0,0,closed,closed,2020/5/13
